,Industry,Quarter,Cumulative time,Loop time
123,3510, 2018 q4,93016.270231,662.1997570000094
124,3510, 2019 q1,98884.883015,5868.612783999997
125,3510, 2019 q2,98951.838035,66.95501999999397
126,3510, 2019 q3,99022.02153,70.18349500000477
127,3510, 2019 q4,99660.629489,638.6079590000008
128,3510, 2020 q1,109467.146622,9806.517133000001
129,3510, 2020 q2,109516.852117,49.705495000001974
130,3520, 2018 q1,109558.737179,41.8850620000012
131,3520, 2018 q2,109599.097145,40.359966000003624
132,3520, 2018 q3,109644.745218,45.64807299998938
133,3520, 2018 q4,109684.144902,39.39968400000362
134,3520, 2019 q1,109727.868173,43.72327099999529
135,3520, 2019 q2,109766.601696,38.733523000002606
136,3520, 2019 q3,109805.328005,38.72630900000513
137,3520, 2019 q4,109845.162588,39.83458300000348
138,3520, 2020 q1,109895.335795,50.17320699999982
139,3520, 2020 q2,109935.993156,40.65736099999049
140,4010, 2018 q1,109991.287995,55.29483900000923
141,4010, 2018 q2,110032.751313,41.463317999994615
142,4010, 2018 q3,110080.999359,48.24804599999334
143,4010, 2018 q4,110130.195223,49.19586400000844
144,4010, 2019 q1,110175.430617,45.235394000003
145,4010, 2019 q2,110214.364282,38.93366499998956
146,4010, 2019 q3,110263.353808,48.989526000004844
147,4010, 2019 q4,110308.334664,44.980855999994674
148,4010, 2020 q1,110350.396393,42.0617290000082
149,4010, 2020 q2,110396.316799,45.92040599999018
150,4020, 2018 q1,110433.830361,37.51356200000737
151,4020, 2018 q2,110470.407317,36.57695600000443
152,4020, 2018 q3,110508.624223,38.21690600000147
153,4020, 2018 q4,110547.897173,39.27294999999867
154,4020, 2019 q1,110588.489586,40.59241299999121
155,4020, 2019 q2,110629.58816,41.09857400000328
156,4020, 2019 q3,110669.467251,39.87909099999524
157,4020, 2019 q4,110711.493878,42.02662699999928
158,4020, 2020 q1,110756.599957,45.106079000004684
159,4020, 2020 q2,110804.381818,47.78186099999584
160,4030, 2018 q1,110838.789482,34.407663999998476
161,4030, 2018 q2,110872.282799,33.49331700000039
162,4030, 2018 q3,110905.901418,33.61861900000076
163,4030, 2018 q4,110940.297579,34.39616100001149
164,4030, 2019 q1,110974.003274,33.70569499999692
165,4030, 2019 q2,111007.982128,33.978854000000865
166,4030, 2019 q3,111042.200879,34.21875099999306
167,4030, 2019 q4,111078.022607,35.8217280000099
168,4030, 2020 q1,111114.169544,36.146936999997706
169,4030, 2020 q2,111149.396761,35.22721699999238
170,4510, 2018 q1,120814.883415,9665.486654000008
171,4510, 2018 q2,130942.448533,10127.565117999999
172,4510, 2018 q3,146363.177817,15420.729283999986
173,4510, 2018 q4,147929.24718,1566.069363000017
174,4510, 2019 q1,153030.349309,5101.102129000006
175,4510, 2019 q2,155677.398351,2647.0490419999987
176,4510, 2019 q3,160765.465018,5088.066666999977
177,4510, 2019 q4,165618.45482,4852.9898020000255
178,4510, 2020 q1,180234.743891,14616.289070999977
179,4510, 2020 q2,190175.285965,9940.542073999997
180,4520, 2018 q1,190226.331182,51.04521700000623
181,4520, 2018 q2,195013.550728,4787.2195460000075
182,4520, 2018 q3,195061.937284,48.386556000012206
183,4520, 2018 q4,195721.78712,659.8498359999794
184,4520, 2019 q1,196394.505347,672.7182270000048
185,4520, 2019 q2,201157.544374,4763.039026999992
186,4520, 2019 q3,201804.286921,646.7425470000017
187,4520, 2019 q4,202412.237112,607.9501910000108
188,4520, 2020 q1,203067.77324,655.536128000007
189,4520, 2020 q2,203108.496982,40.72374200000195
190,4530, 2018 q1,203152.179918,43.682935999997426
191,4530, 2018 q2,203759.721533,607.5416149999946
